Pais;Region;Score;GDP;Social Support;Healthy Life;Freedom;Generosity;Corruption;Tipo;Indicador
Portugal;Western Europe;5.929;10.421;0.879;72.6;0.892;-0.244;0.887;indiferente;14.239166666666664
Honduras;Latin America and Caribbean;5.919;8.648;0.812;67.3;0.857;0.081;0.809;indiferente;13.084499999999998
Croatia;Central and Eastern Europe;5.882;10.217;0.924;70.799;0.754;-0.118;0.939;indiferente;13.91916666666667
Philippines;Southeast Asia;5.88;9.076;0.83;62.0;0.917;-0.097;0.742;indiferente;12.244666666666669
South Korea;East Asia;5.845;10.651;0.799;73.9;0.672;-0.083;0.727;indiferente;14.444333333333335
Peru;Latin America and Caribbean;5.84;9.458;0.832;68.25;0.822;-0.154;0.891;indiferente;13.349833333333336
Bosnia and Herzegovina;Central and Eastern Europe;5.813;9.59;0.87;68.098;0.706;0.113;0.931;indiferente;13.384666666666666
Moldova;Commonwealth of Independent States;5.766;9.454;0.857;65.699;0.822;-0.079;0.918;indiferente;12.945166666666667
Ecuador;Latin America and Caribbean;5.764;9.313;0.821;68.8;0.842;-0.124;0.843;indiferente;13.415833333333333
Kyrgyzstan;Commonwealth of Independent States;5.744;8.538;0.893;64.401;0.935;0.119;0.908;indiferente;12.632333333333333
Greece;Western Europe;5.723;10.279;0.823;72.6;0.582;-0.288;0.823;indiferente;14.136499999999998
Bolivia;Latin America and Caribbean;5.716;9.046;0.81;63.901;0.875;-0.077;0.839;indiferente;12.565666666666667
Mongolia;East Asia;5.677;9.4;0.935;62.5;0.708;0.116;0.856;indiferente;12.419166666666667
Paraguay;Latin America and Caribbean;5.653;9.448;0.893;65.9;0.876;0.028;0.882;indiferente;13.004500000000005
Montenegro;Central and Eastern Europe;5.581;9.94;0.858;68.699;0.708;-0.034;0.812;indiferente;13.497166666666665
Dominican Republic;Latin America and Caribbean;5.545;9.802;0.853;66.102;0.86;-0.133;0.714;indiferente;13.033000000000001
North Cyprus;Western Europe;5.536;10.576;0.82;73.898;0.795;0.012;0.626;indiferente;14.454500000000001
Belarus;Commonwealth of Independent States;5.534;9.853;0.91;66.253;0.65;-0.18;0.627;indiferente;13.018833333333333
Russia;Commonwealth of Independent States;5.477;10.189;0.903;64.703;0.718;-0.111;0.845;indiferente;12.8745
Hong Kong S.A.R. of China;East Asia;5.477;11.0;0.836;76.82;0.717;0.067;0.403;indiferente;14.973833333333332
Tajikistan;Commonwealth of Independent States;5.466;8.091;0.86;64.281;0.832;-0.056;0.553;indiferente;12.426833333333333
Vietnam;Southeast Asia;5.411;8.973;0.85;68.034;0.94;-0.098;0.796;indiferente;13.249166666666667
Libya;Middle East and North Africa;5.41;9.622;0.827;62.3;0.771;-0.087;0.667;indiferente;12.35
Malaysia;Southeast Asia;5.384;10.238;0.817;67.102;0.895;0.125;0.839;indiferente;13.336
Indonesia;Southeast Asia;5.345;9.365;0.811;62.236;0.873;0.542;0.867;indiferente;12.449
Congo (Brazzaville);Sub-Saharan Africa;5.342;8.117;0.636;58.221;0.695;-0.068;0.745;indiferente;11.390999999999998
