Fecha	Valor de Apertura	Resultado
2021-04-14	770.700012	Alto
2021-04-15	743.099976	Alto
2021-04-16	728.650024	Alto
2021-04-19	719.599976	Alto
2021-04-20	717.419983	Alto
2021-04-21	704.77002	Alto
2021-04-22	741.5	Alto
2021-04-23	719.799988	Alto
2021-04-26	741.0	Alto
2021-04-27	717.960022	Alto
2021-04-28	696.409973	Alto
2021-04-29	699.51001	Alto
2021-04-30	667.590027	Alto
2021-05-03	703.799988	Alto
2021-05-04	678.940002	Alto
2021-05-05	681.059998	Alto
2021-05-06	680.76001	Alto
2021-05-07	665.799988	Alto
2021-05-10	664.900024	Alto
2021-05-11	599.23999	Alto
2021-05-12	602.48999	Alto
2021-05-13	601.539978	Alto
2021-05-14	583.409973	Alto
2021-05-17	575.549988	Alto
2021-05-18	568.0	Alto
2021-05-19	552.549988	Alto
2021-05-20	575.0	Alto
2021-05-21	596.109985	Alto
2021-05-24	581.599976	Alto
2021-05-25	607.309998	Alto
2021-05-26	607.559998	Alto
2021-05-27	620.23999	Alto
2021-05-28	628.5	Alto
2021-06-01	627.799988	Alto
2021-06-02	620.130005	Alto
2021-06-03	601.799988	Alto
2021-06-04	579.710022	Alto
2021-06-07	591.830017	Alto
2021-06-08	623.01001	Alto
2021-06-09	602.169983	Alto
2021-06-10	603.880005	Alto
2021-06-11	610.22998	Alto
2021-06-14	612.22998	Alto
2021-06-15	616.690002	Alto
2021-06-16	597.539978	Alto
2021-06-17	601.890015	Alto
2021-06-18	613.369995	Alto
2021-06-21	624.47998	Alto
2021-06-22	618.25	Alto
2021-06-23	632.0	Alto
2021-06-24	674.98999	Alto
2021-06-25	689.580017	Alto
